index,apartment_type,metro_station,minutes_to_metro,region,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation,price
118,Secondary,Чистые пруды,26,Moscow,3,103.64,70.0,29.8,13,22,Designer,70657033.0
119,New building,Университет,13,Moscow,4,93.11,42.0,27.4,5,5,Cosmetic,24586680.0
120,Secondary,Красный Балтиец,12,Moscow,3,137.92,99.5,19.2,1,5,European-style renovation,30644126.0
121,Secondary,Бульвар Рокоссовского,16,Moscow,0,20.78,11.0,8.5,1,9,European-style renovation,5551053.0
122,Secondary,Павшино,18,Moscow region,1,30.62,13.0,8.5,1,35,European-style renovation,6849980.0
123,New building,Улица 1905 года,12,Moscow,4,53.39,38.2,20.8,4,22,Cosmetic,9416909.0
124,Secondary,Давыдково,13,Moscow,4,116.5,78.4,20.8,2,11,European-style renovation,47055121.0
125,Secondary,Марьина Роща,13,Moscow,3,98.39,53.7,14.1,2,20,Designer,37746784.0
126,Secondary,Ботанический сад,16,Moscow,4,93.35,70.9,18.1,7,20,Designer,15706246.0
127,Secondary,Беговая,4,Moscow,4,104.95,56.9,24.4,1,43,European-style renovation,56821090.0
128,New building,Каширская,19,Moscow,2,33.19,16.5,12.0,7,14,Cosmetic,11276283.0
129,Secondary,Крымская,17,Moscow,1,66.87,27.2,12.9,1,21,Without renovation,15616208.0
130,Secondary,Жулебино,12,Moscow region,1,32.02,14.7,4.6,8,10,Without renovation,3316391.0
131,Secondary,Сокольники,15,Moscow,1,65.11,47.3,11.4,2,20,Without renovation,35110146.0
132,Secondary,Бескудниково,8,Moscow,4,142.85,84.4,14.8,2,22,European-style renovation,41534374.0
133,Secondary,Нагатинский Затон,10,Moscow,4,108.89,65.6,24.0,17,8,Cosmetic,38577884.0
134,New building,Котельники,12,Moscow region,2,77.87,44.8,12.1,14,21,Cosmetic,11528912.0
135,New building,Жулебино,12,Moscow region,2,39.24,23.8,3.9,12,14,Cosmetic,6785341.0
136,Secondary,Аминьевская,19,Moscow,0,21.55,13.1,8.4,7,5,European-style renovation,7325122.0
137,Secondary,Планерная,6,Moscow,0,13.8,8.7,5.5,12,9,Cosmetic,4814972.0
138,Secondary,Марьино,12,Moscow,2,104.17,46.6,17.9,3,16,European-style renovation,14805617.0
139,Secondary,Алтуфьево,3,Moscow,4,106.24,81.9,20.2,2,28,Designer,55835730.0
140,Secondary,Новые Черёмушки,14,Moscow,1,32.51,12.4,7.9,2,14,Cosmetic,11932735.0
141,Secondary,Щелковская,13,Moscow,4,84.11,41.2,21.3,9,35,Cosmetic,12616002.0
142,Secondary,Бутово,13,Moscow region,1,19.38,10.8,14.6,20,9,Designer,4649142.0
143,Secondary,Народное Ополчение,13,Moscow,1,47.63,17.9,8.8,7,10,Without renovation,20737409.0
144,Secondary,Крылатское,5,Moscow,1,46.29,29.1,12.4,5,20,Cosmetic,26648480.0
145,Secondary,Жулебино,13,Moscow region,2,45.24,28.0,6.2,3,14,Designer,8397271.0
146,Secondary,Ломоносовский проспект,18,Moscow,1,53.14,40.9,8.5,17,21,Cosmetic,25435483.0
147,Secondary,Кожуховская,12,Moscow,1,108.84,76.0,20.1,21,14,Cosmetic,25283865.0
148,Secondary,Щелковская,7,Moscow,2,21.47,12.4,5.0,1,4,Designer,10618604.0
149,Secondary,Аннино,9,Moscow,1,32.07,16.0,9.9,20,5,Without renovation,10916754.0
150,Secondary,Алексеевская,8,Moscow,1,22.19,10.9,8.2,4,17,Cosmetic,10819566.0
151,Secondary,Киевская,22,Moscow,0,31.09,12.2,4.4,1,9,Without renovation,18238112.0
152,Secondary,Алексеевская,12,Moscow,2,34.84,22.6,9.8,6,9,Without renovation,8762574.0
153,Secondary,Окская,17,Moscow,1,112.33,79.4,18.4,6,9,Without renovation,34901826.0
154,Secondary,Пенягино,18,Moscow region,2,88.39,61.5,11.0,5,14,Designer,12294317.0
155,Secondary,Новаторская,20,Moscow,6,208.05,100.2,28.7,13,5,European-style renovation,115913839.0
156,Secondary,Динамо,12,Moscow,4,270.46,111.9,24.9,2,5,European-style renovation,349153136.0
157,Secondary,Некрасовка,3,Moscow,0,20.98,10.2,4.4,6,10,Without renovation,7117213.0
158,Secondary,Савёловская,13,Moscow,3,53.96,33.9,15.8,2,39,European-style renovation,20402858.0
159,Secondary,Раменки,4,Moscow,6,69.32,23.4,8.4,3,10,European-style renovation,28687016.0
160,Secondary,Некрасовка,19,Moscow,1,28.68,11.1,5.3,13,16,Without renovation,9379635.0
161,New building,Красногвардейская,19,Moscow region,1,59.36,41.6,4.7,6,14,Cosmetic,9742983.0
162,New building,Братиславская,4,Moscow,1,27.95,14.7,18.9,6,16,Cosmetic,5669561.0
163,Secondary,Новогиреево,23,Moscow,1,27.74,10.5,12.1,2,16,Designer,4953164.0
164,Secondary,Силикатная,12,Moscow,0,61.23,10.1,8.3,2,11,European-style renovation,8277143.0
165,Secondary,Котельники,9,Moscow region,3,98.02,65.7,26.0,2,37,European-style renovation,18993924.0
166,Secondary,Ховрино,19,Moscow,2,206.55,133.1,8.4,1,6,European-style renovation,26539952.0
167,Secondary,Мичуринский проспект,4,Moscow,3,36.26,18.4,11.8,1,14,European-style renovation,15802926.0
168,Secondary,Бескудниково,7,Moscow,1,76.42,41.6,24.7,4,22,Designer,30960319.0
169,Secondary,Народное Ополчение,19,Moscow,3,162.9,105.0,14.5,2,22,Designer,76416941.0
170,New building,Котельники,13,Moscow region,1,30.94,12.3,16.8,9,20,Cosmetic,6672563.0
171,Secondary,Марьина Роща,13,Moscow,0,18.02,8.9,8.8,1,22,European-style renovation,7051555.0
172,Secondary,Марьина Роща,19,Moscow,0,16.36,9.5,5.5,1,8,Designer,8606223.0
173,Secondary,Фрунзенская,14,Moscow,2,34.6,17.1,9.7,6,14,Cosmetic,8820731.0
174,Secondary,Зорге,19,Moscow,4,71.24,25.7,16.1,17,10,Designer,20766601.0
175,Secondary,Нагатинская,11,Moscow,4,52.42,35.9,19.6,18,28,Designer,35404836.0
176,Secondary,Щелковская,13,Moscow,0,34.43,23.6,8.8,1,8,European-style renovation,11441174.0
177,New building,Зябликово,13,Moscow region,2,37.09,23.4,16.8,6,20,Cosmetic,7223749.0
178,Secondary,Аникеевка,16,Moscow region,0,33.37,25.1,5.0,1,8,Cosmetic,9356434.0
179,Secondary,Серпуховская,19,Moscow,5,152.69,61.6,27.2,2,6,European-style renovation,80734758.0
180,Secondary,Черкизовская,22,Moscow,0,24.02,13.4,3.2,1,10,European-style renovation,3335834.0
181,Secondary,Черкизовская,12,Moscow,2,67.19,42.8,19.1,8,10,Cosmetic,11924849.0
182,Secondary,Медведково,21,Moscow,3,108.91,69.1,16.0,9,11,Designer,30646911.0
183,New building,Жулебино,13,Moscow region,1,26.89,9.8,7.9,7,20,Cosmetic,3840894.0
184,Secondary,Улица Академика Янгеля,9,Moscow,5,140.82,66.2,20.0,2,6,European-style renovation,50219859.0
185,New building,Братиславская,5,Moscow,1,59.15,42.1,4.4,4,20,Cosmetic,10235169.0
186,New building,Красногвардейская,14,Moscow region,1,29.03,9.7,9.6,11,14,Cosmetic,3168344.0
187,Secondary,Пролетарская,9,Moscow,2,54.68,28.1,11.9,9,20,Designer,38032475.0
188,Secondary,Охотный ряд,5,Moscow,5,138.3,70.2,29.4,1,6,European-style renovation,120153904.0
189,Secondary,Яхромская,6,Moscow,5,228.29,94.0,19.4,8,17,European-style renovation,63201000.0
190,Secondary,Павелецкая,20,Moscow,0,19.49,11.2,21.8,1,8,European-style renovation,10774986.0
191,Secondary,Авиамоторная,12,Moscow,1,22.03,13.6,5.3,1,9,Cosmetic,9886728.0
192,Secondary,Сетунь,7,Moscow,1,18.63,10.1,8.1,8,14,Without renovation,7157698.0
193,Secondary,Шелепиха,13,Moscow,5,202.43,97.6,29.4,5,5,European-style renovation,140709652.0
194,Secondary,Трикотажная,11,Moscow,2,34.13,15.4,8.4,1,20,Without renovation,5889765.0
195,Secondary,Лужники,42,Moscow,2,96.19,66.7,5.8,2,23,European-style renovation,35892328.0
196,Secondary,Третьяковская,18,Moscow,3,79.62,42.5,20.0,19,8,European-style renovation,63303369.0
197,Secondary,Минская,10,Moscow,4,163.36,80.2,26.8,2,10,European-style renovation,175486235.0
198,Secondary,Красногвардейская,13,Moscow region,0,18.21,7.2,8.2,1,4,Cosmetic,2182647.0
199,Secondary,Рассказовка,10,Moscow,5,382.13,172.7,15.8,1,20,European-style renovation,75870116.0
200,Secondary,Жулебино,23,Moscow region,1,26.89,6.1,4.4,2,11,Without renovation,4753631.0
201,New building,Братиславская,19,Moscow,2,79.57,48.5,19.6,5,16,Cosmetic,15055188.0
202,Secondary,Аминьевская,12,Moscow,4,53.86,32.9,12.1,3,16,Cosmetic,20880722.0
203,Secondary,Владыкино,16,Moscow,0,24.03,13.8,5.6,1,42,Without renovation,5803368.0
204,Secondary,Рязанский проспект,13,Moscow,1,94.51,68.4,21.0,14,4,European-style renovation,17514683.0
205,Secondary,Зябликово,11,Moscow,2,59.61,29.6,15.8,19,12,European-style renovation,13195896.0
206,Secondary,Терехово,19,Moscow,2,53.67,30.0,8.6,1,23,Designer,22739950.0
207,Secondary,Крылатское,15,Moscow,1,93.73,47.6,14.0,1,39,Designer,24662167.0
208,New building,Смоленская,13,Moscow,5,161.0,109.7,32.0,3,14,Cosmetic,78028334.0
209,New building,Котельники,13,Moscow region,2,32.49,21.4,15.4,11,16,Cosmetic,6711524.0
210,Secondary,Красногвардейская,10,Moscow region,1,25.37,10.9,8.7,9,11,Cosmetic,6940660.0
211,Secondary,Красногвардейская,26,Moscow region,0,17.99,9.5,5.6,20,22,European-style renovation,5591473.0
212,Secondary,Красногвардейская,12,Moscow region,6,48.8,30.3,4.8,9,10,Designer,10475176.0
213,Secondary,Терехово,8,Moscow,1,41.73,29.8,8.1,16,9,Cosmetic,16651040.0
214,New building,Депо,13,Moscow,3,72.43,42.4,12.0,14,14,Cosmetic,17282087.0
215,New building,Жулебино,13,Moscow region,2,29.78,17.9,2.5,9,20,Cosmetic,6276021.0
216,Secondary,Дмитровская,8,Moscow,2,25.9,15.2,8.8,2,14,Cosmetic,5593506.0
217,Secondary,Минская,9,Moscow,6,189.46,130.0,19.5,19,6,European-style renovation,169466828.0
218,Secondary,Сокол,14,Moscow,6,304.56,198.8,27.7,1,6,European-style renovation,140515499.0
219,Secondary,Савёловская,19,Moscow,2,96.82,59.5,11.9,24,16,Designer,41053609.0
220,Secondary,Сетунь,6,Moscow,2,47.66,27.2,8.6,1,10,Designer,9028003.0
221,Secondary,Сокольники,19,Moscow,1,30.35,14.1,12.3,2,29,Without renovation,16358334.0
222,New building,Жулебино,12,Moscow region,3,20.49,11.8,17.3,11,20,Cosmetic,3346161.0
223,Secondary,Аэропорт,13,Moscow,1,27.84,18.7,9.0,4,7,Without renovation,14702179.0
224,New building,Братиславская,13,Moscow,3,47.13,35.1,11.0,17,14,Cosmetic,5998684.0
225,Secondary,Тульская,18,Moscow,4,53.51,29.1,8.8,1,34,Cosmetic,23595750.0
226,Secondary,Полянка,19,Moscow,2,56.95,26.2,10.2,2,23,Without renovation,28289705.0
227,Secondary,Нижегородская,8,Moscow,2,68.56,49.2,10.1,2,4,Designer,24003077.0
228,Secondary,Октябрьская,18,Moscow,4,142.1,114.9,21.1,1,19,European-style renovation,30082699.0
229,Secondary,Давыдково,4,Moscow,0,24.05,13.8,5.4,1,8,Designer,5440787.0
230,New building,Красногвардейская,12,Moscow region,1,20.1,12.3,8.2,13,20,Cosmetic,3770618.0
231,Secondary,Панфиловская,4,Moscow,3,32.44,13.6,8.6,11,10,Without renovation,7727432.0
232,Secondary,Теплый Стан,14,Moscow,1,34.15,16.4,19.4,8,8,Without renovation,8035795.0
233,Secondary,Полянка,3,Moscow,3,80.85,47.2,20.5,8,26,European-style renovation,66834990.0
234,Secondary,Маяковская,8,Moscow,5,198.06,93.0,30.8,2,43,European-style renovation,126104537.0
235,New building,Депо,12,Moscow,4,111.31,72.0,15.7,5,16,Cosmetic,16221923.0
236,Secondary,Жулебино,13,Moscow region,1,18.23,10.0,7.8,12,10,Without renovation,3986045.0
237,Secondary,Ольховая,13,Moscow,3,23.06,12.1,9.9,14,14,Without renovation,7437319.0
238,Secondary,Деловой центр,9,Moscow,5,225.23,86.0,27.7,13,5,European-style renovation,247798144.0
239,Secondary,Битца,13,Moscow region,1,40.76,30.7,11.8,1,14,Without renovation,9895007.0
240,Secondary,Аминьевская,11,Moscow,6,150.86,44.3,23.4,2,24,European-style renovation,49748203.0
241,Secondary,Крылатское,12,Moscow,4,74.88,47.9,18.0,15,10,European-style renovation,19617291.0
242,Secondary,Текстильщики,4,Moscow,6,42.77,28.1,36.4,1,31,European-style renovation,15702165.0
243,Secondary,Аннино,13,Moscow,2,53.87,33.5,12.0,3,8,Designer,21426710.0
244,Secondary,Жулебино,19,Moscow,3,94.2,52.1,17.4,6,29,Designer,26981308.0
245,Secondary,Ботанический сад,12,Moscow,2,33.03,23.3,8.4,2,9,European-style renovation,5903711.0
246,Secondary,Улица 1905 года,6,Moscow,4,262.58,75.1,25.8,2,24,European-style renovation,130394528.0
247,Secondary,Новокузнецкая,14,Moscow,6,118.92,39.9,15.5,1,14,Designer,135847024.0
248,Secondary,Мичуринский проспект,19,Moscow,3,304.85,239.6,28.2,2,10,Designer,180332958.0
249,Secondary,Ольховая,5,Moscow,1,19.36,9.8,8.1,1,8,Without renovation,9140142.0
250,New building,Красногвардейская,11,Moscow region,2,36.99,11.7,15.1,6,14,Cosmetic,6638815.0
251,Secondary,Фили,6,Moscow,6,163.0,73.2,27.5,3,5,European-style renovation,106248041.0
252,Secondary,Новокузнецкая,13,Moscow,2,42.41,26.0,10.3,20,10,European-style renovation,16411804.0
253,Secondary,Терехово,6,Moscow,4,100.31,79.1,15.7,5,21,Designer,67975924.0
254,Secondary,Жулебино,13,Moscow region,3,98.95,46.1,25.7,1,15,Without renovation,22296342.0
255,Secondary,Окружная,13,Moscow,6,102.64,41.7,21.8,4,5,European-style renovation,30925101.0
256,Secondary,Александровский сад,9,Moscow,6,149.97,86.1,19.5,4,17,European-style renovation,73002109.0
257,Secondary,Технопарк,18,Moscow,4,85.33,57.4,18.0,2,22,European-style renovation,42770909.0
258,Secondary,Охотный ряд,13,Moscow,4,84.66,45.0,5.7,2,16,European-style renovation,60310665.0
259,Secondary,Сокол,8,Moscow,5,198.89,152.8,27.8,1,42,European-style renovation,56463070.0
260,Secondary,Лефортово,12,Moscow,1,44.65,33.4,20.1,39,21,Cosmetic,10123755.0
261,Secondary,Домодедовская,16,Moscow,1,47.37,28.6,4.8,1,6,Designer,8105316.0
262,New building,Жулебино,26,Moscow region,3,67.73,39.1,14.9,6,22,Designer,9357140.0
263,New building,Зябликово,13,Moscow region,3,48.41,15.3,10.0,8,37,Cosmetic,9968690.0
264,New building,Зябликово,13,Moscow region,1,30.53,14.5,8.4,7,20,Cosmetic,6989817.0
265,Secondary,Калитники,12,Moscow,1,59.59,10.7,5.5,6,34,European-style renovation,12759756.0
266,Secondary,Аэропорт,12,Moscow,1,53.17,33.4,8.5,13,12,Without renovation,31019788.0
267,New building,Улица 1905 года,12,Moscow,0,71.19,14.7,30.1,2,5,Cosmetic,29907043.0
268,New building,Братиславская,18,Moscow,2,48.42,23.3,11.5,19,14,Cosmetic,8373007.0
269,Secondary,Братиславская,11,Moscow,3,94.57,37.2,19.5,10,18,Cosmetic,20998649.0
270,Secondary,Чкаловская,5,Moscow,6,65.67,56.0,5.6,2,4,European-style renovation,32763006.0
271,Secondary,Давыдково,19,Moscow,2,31.71,18.0,4.6,6,20,Cosmetic,20656878.0
272,Secondary,Румянцево,15,Moscow,4,46.0,29.5,5.4,12,21,Designer,24267738.0
273,Secondary,Фрунзенская,10,Moscow,3,89.26,79.1,18.0,2,23,European-style renovation,88146629.0
